,speaker,Text,minutes,Document,Topic,Name,Representation,Representative_Docs,Top_n_words,Probability,Representative_document
0,Lacey Rose,"Hi, and welcome to Close Up With The Hollywood Reporter, comedy actors. I'm your host Lacey Rose, and I'm here with Timothy Simons, Sacha Baron Cohen, Henry Winkler, Don Cheadle, Jim Carrey and Ted Danson. Dive right into this, okay, we're gonna start with",0.13333333333333333,"Hi, and welcome to Close Up With The Hollywood Reporter, comedy actors. I'm your host Lacey Rose, and I'm here with Timothy Simons, Sacha Baron Cohen, Henry Winkler, Don Cheadle, Jim Carrey and Ted Danson. Dive right into this, okay, we're gonna start with",-1,-1_like_know_its_what,"['like', 'know', 'its', 'what', 'youre', 'do', 'they', 'on', 'about', 'at']","[""Yeah, it very often happens to me I've found in my work, and you're going, what am I pulling toward me? You know, it's not just that things are out there for you to go get, a lot of times these things are kind of coalescing around you and you're like, wow, did I pull that in so that I could work through this in some way, and it just feels like that a lot of time. So I always feel like there's a lot of me in whatever"", ""But it was, you know, Ace Ventura was a way to rip down arrogance and that, you know, the powers that be in any case and at the same time it's pure love. There's so much love in it, in that mocking except for the one I'm mocking necessarily, but even them I just wanna go, you know this is bullshit, right? You know you're full of it. But the performance is love, it's a dance for me. And I love actors who employed every bit of their instrument, you know, I mean, you look at James Dean, this is a man who was expressing everything with every, you know, he didn't just get emotional, he was emotion. It was tearing him apart! You know, and it was everything was in it, and I love that kind of thing, so I always think of myself as a kind of painting, you know? And it's an abstract painting a lot of times. So I know the method, I know Stanislavski and I know Meisner and I know what's good from them for me. I use it, and at the same time I'm painting. So don't tell me the eyes can't both be on this side of the head."", 'To piggyback on what everyone has said and that you ape and act like you came up with it.  That, you know, it\'s true. You are bringing yourself to these roles. We don\'t completely shut off and we\'re not there. We\'re there and you\'re exercising and you\'re accessing different parts of your personality, different parts of your pain, different parts of your joy and trying to find where you and this character meet. And sometimes you\'re reaching for things that are out there beyond you that you\'re trying to scaffold to and other times you\'re like, that\'s a little too close. Can we not do that beat right now? But if you\'re really honest, and I think all of us probably have a good relationship with the writers that we\'re working with that You\'re in a conversation. It\'s not like they just stick it all on the page and go, say all of that, you know. You\'re always in a conversation, and when you\'re in that conversation you\'re trying to get to the best iteration of what that thing is so you are bringing yourself to these moments, and that\'s when it sings. I mean, my writers are perfectly happy for me to improv a scene and they go, ""That\'s good, that was better, move on."" You know, best answer wins.']",like - know - its - what - youre - do - they - on - about - at,0.0,False
1,Jim Carrey,"Hi, Lacey.",0.36666666666666664,"Hi, Lacey.",-1,-1_like_know_its_what,"['like', 'know', 'its', 'what', 'youre', 'do', 'they', 'on', 'about', 'at']","[""Yeah, it very often happens to me I've found in my work, and you're going, what am I pulling toward me? You know, it's not just that things are out there for you to go get, a lot of times these things are kind of coalescing around you and you're like, wow, did I pull that in so that I could work through this in some way, and it just feels like that a lot of time. So I always feel like there's a lot of me in whatever"", ""But it was, you know, Ace Ventura was a way to rip down arrogance and that, you know, the powers that be in any case and at the same time it's pure love. There's so much love in it, in that mocking except for the one I'm mocking necessarily, but even them I just wanna go, you know this is bullshit, right? You know you're full of it. But the performance is love, it's a dance for me. And I love actors who employed every bit of their instrument, you know, I mean, you look at James Dean, this is a man who was expressing everything with every, you know, he didn't just get emotional, he was emotion. It was tearing him apart! You know, and it was everything was in it, and I love that kind of thing, so I always think of myself as a kind of painting, you know? And it's an abstract painting a lot of times. So I know the method, I know Stanislavski and I know Meisner and I know what's good from them for me. I use it, and at the same time I'm painting. So don't tell me the eyes can't both be on this side of the head."", 'To piggyback on what everyone has said and that you ape and act like you came up with it.  That, you know, it\'s true. You are bringing yourself to these roles. We don\'t completely shut off and we\'re not there. We\'re there and you\'re exercising and you\'re accessing different parts of your personality, different parts of your pain, different parts of your joy and trying to find where you and this character meet. And sometimes you\'re reaching for things that are out there beyond you that you\'re trying to scaffold to and other times you\'re like, that\'s a little too close. Can we not do that beat right now? But if you\'re really honest, and I think all of us probably have a good relationship with the writers that we\'re working with that You\'re in a conversation. It\'s not like they just stick it all on the page and go, say all of that, you know. You\'re always in a conversation, and when you\'re in that conversation you\'re trying to get to the best iteration of what that thing is so you are bringing yourself to these moments, and that\'s when it sings. I mean, my writers are perfectly happy for me to improv a scene and they go, ""That\'s good, that was better, move on."" You know, best answer wins.']",like - know - its - what - youre - do - they - on - about - at,0.0,False
2,Lacey Rose,"Hi, Jim.",0.36666666666666664,"Hi, Jim.",-1,-1_like_know_its_what,"['like', 'know', 'its', 'what', 'youre', 'do', 'they', 'on', 'about', 'at']","[""Yeah, it very often happens to me I've found in my work, and you're going, what am I pulling toward me? You know, it's not just that things are out there for you to go get, a lot of times these things are kind of coalescing around you and you're like, wow, did I pull that in so that I could work through this in some way, and it just feels like that a lot of time. So I always feel like there's a lot of me in whatever"", ""But it was, you know, Ace Ventura was a way to rip down arrogance and that, you know, the powers that be in any case and at the same time it's pure love. There's so much love in it, in that mocking except for the one I'm mocking necessarily, but even them I just wanna go, you know this is bullshit, right? You know you're full of it. But the performance is love, it's a dance for me. And I love actors who employed every bit of their instrument, you know, I mean, you look at James Dean, this is a man who was expressing everything with every, you know, he didn't just get emotional, he was emotion. It was tearing him apart! You know, and it was everything was in it, and I love that kind of thing, so I always think of myself as a kind of painting, you know? And it's an abstract painting a lot of times. So I know the method, I know Stanislavski and I know Meisner and I know what's good from them for me. I use it, and at the same time I'm painting. So don't tell me the eyes can't both be on this side of the head."", 'To piggyback on what everyone has said and that you ape and act like you came up with it.  That, you know, it\'s true. You are bringing yourself to these roles. We don\'t completely shut off and we\'re not there. We\'re there and you\'re exercising and you\'re accessing different parts of your personality, different parts of your pain, different parts of your joy and trying to find where you and this character meet. And sometimes you\'re reaching for things that are out there beyond you that you\'re trying to scaffold to and other times you\'re like, that\'s a little too close. Can we not do that beat right now? But if you\'re really honest, and I think all of us probably have a good relationship with the writers that we\'re working with that You\'re in a conversation. It\'s not like they just stick it all on the page and go, say all of that, you know. You\'re always in a conversation, and when you\'re in that conversation you\'re trying to get to the best iteration of what that thing is so you are bringing yourself to these moments, and that\'s when it sings. I mean, my writers are perfectly happy for me to improv a scene and they go, ""That\'s good, that was better, move on."" You know, best answer wins.']",like - know - its - what - youre - do - they - on - about - at,0.0,False
3,Sacha Baron Cohen,Thank you for having us.,0.36666666666666664,Thank you for having us.,-1,-1_like_know_its_what,"['like', 'know', 'its', 'what', 'youre', 'do', 'they', 'on', 'about', 'at']","[""Yeah, it very often happens to me I've found in my work, and you're going, what am I pulling toward me? You know, it's not just that things are out there for you to go get, a lot of times these things are kind of coalescing around you and you're like, wow, did I pull that in so that I could work through this in some way, and it just feels like that a lot of time. So I always feel like there's a lot of me in whatever"", ""But it was, you know, Ace Ventura was a way to rip down arrogance and that, you know, the powers that be in any case and at the same time it's pure love. There's so much love in it, in that mocking except for the one I'm mocking necessarily, but even them I just wanna go, you know this is bullshit, right? You know you're full of it. But the performance is love, it's a dance for me. And I love actors who employed every bit of their instrument, you know, I mean, you look at James Dean, this is a man who was expressing everything with every, you know, he didn't just get emotional, he was emotion. It was tearing him apart! You know, and it was everything was in it, and I love that kind of thing, so I always think of myself as a kind of painting, you know? And it's an abstract painting a lot of times. So I know the method, I know Stanislavski and I know Meisner and I know what's good from them for me. I use it, and at the same time I'm painting. So don't tell me the eyes can't both be on this side of the head."", 'To piggyback on what everyone has said and that you ape and act like you came up with it.  That, you know, it\'s true. You are bringing yourself to these roles. We don\'t completely shut off and we\'re not there. We\'re there and you\'re exercising and you\'re accessing different parts of your personality, different parts of your pain, different parts of your joy and trying to find where you and this character meet. And sometimes you\'re reaching for things that are out there beyond you that you\'re trying to scaffold to and other times you\'re like, that\'s a little too close. Can we not do that beat right now? But if you\'re really honest, and I think all of us probably have a good relationship with the writers that we\'re working with that You\'re in a conversation. It\'s not like they just stick it all on the page and go, say all of that, you know. You\'re always in a conversation, and when you\'re in that conversation you\'re trying to get to the best iteration of what that thing is so you are bringing yourself to these moments, and that\'s when it sings. I mean, my writers are perfectly happy for me to improv a scene and they go, ""That\'s good, that was better, move on."" You know, best answer wins.']",like - know - its - what - youre - do - they - on - about - at,0.0,False
4,Jim Carrey,How are you?,0.36666666666666664,How are you?,9,9_okay_asshole_im_youre,"['okay', 'asshole', 'im', 'youre', 'points', 'wise', 'sorry', 'whatever', 'work', 'say']","['Okay, so', ""I'm an asshole, is that what you're? "", ""So I'm an asshole, is that what you're trying to say?""]",okay - asshole - im - youre - points - wise - sorry - whatever - work - say,0.9709329727776186,False
5,Lacey Rose,I'm good!,0.45,I'm good!,9,9_okay_asshole_im_youre,"['okay', 'asshole', 'im', 'youre', 'points', 'wise', 'sorry', 'whatever', 'work', 'say']","['Okay, so', ""I'm an asshole, is that what you're? "", ""So I'm an asshole, is that what you're trying to say?""]",okay - asshole - im - youre - points - wise - sorry - whatever - work - say,1.0,False
6,Don Cheadle,"See, you already got points.",0.45,"See, you already got points.",9,9_okay_asshole_im_youre,"['okay', 'asshole', 'im', 'youre', 'points', 'wise', 'sorry', 'whatever', 'work', 'say']","['Okay, so', ""I'm an asshole, is that what you're? "", ""So I'm an asshole, is that what you're trying to say?""]",okay - asshole - im - youre - points - wise - sorry - whatever - work - say,0.9942388711994714,False
7,Jim Carrey,"No, really, how are you? ",0.45,"No, really, how are you? ",9,9_okay_asshole_im_youre,"['okay', 'asshole', 'im', 'youre', 'points', 'wise', 'sorry', 'whatever', 'work', 'say']","['Okay, so', ""I'm an asshole, is that what you're? "", ""So I'm an asshole, is that what you're trying to say?""]",okay - asshole - im - youre - points - wise - sorry - whatever - work - say,1.0,False
8,Timothy Simons,You look beautiful home.,0.45,You look beautiful home.,2,2_route_out_go_escape,"['route', 'out', 'go', 'escape', 'board', 'theres', 'moon', 'dive', 'front', 'gotta']","[""And we find out they're at the escape route."", ""To a cabinet minister. And then we're working out how to get out of the hotel. And you know, we've got a back route. We always have escape routes, but then we find out"", 'They\'re at the escape route so we ended up going through the front door, the main entrance, and the guy with me, he said, ""If anyone comes towards you, I\'m going to stop them."" I go, ""What does that mean?"" And he goes, ""I\'m gonna stop \'em."" I go, ""Is that legal?"" He goes, ""yes,"" and he goes, ""you just have to get from here ""from the elevator to that car."" And so a lot of, 80% of what I do is this getting in and getting out.']",route - out - go - escape - board - theres - moon - dive - front - gotta,0.9208553204350782,False
9,Lacey Rose,"Thank you, creep. All right, complete this sentence. I act because.",0.45,"Thank you, creep. All right, complete this sentence. I act because.",-1,-1_like_know_its_what,"['like', 'know', 'its', 'what', 'youre', 'do', 'they', 'on', 'about', 'at']","[""Yeah, it very often happens to me I've found in my work, and you're going, what am I pulling toward me? You know, it's not just that things are out there for you to go get, a lot of times these things are kind of coalescing around you and you're like, wow, did I pull that in so that I could work through this in some way, and it just feels like that a lot of time. So I always feel like there's a lot of me in whatever"", ""But it was, you know, Ace Ventura was a way to rip down arrogance and that, you know, the powers that be in any case and at the same time it's pure love. There's so much love in it, in that mocking except for the one I'm mocking necessarily, but even them I just wanna go, you know this is bullshit, right? You know you're full of it. But the performance is love, it's a dance for me. And I love actors who employed every bit of their instrument, you know, I mean, you look at James Dean, this is a man who was expressing everything with every, you know, he didn't just get emotional, he was emotion. It was tearing him apart! You know, and it was everything was in it, and I love that kind of thing, so I always think of myself as a kind of painting, you know? And it's an abstract painting a lot of times. So I know the method, I know Stanislavski and I know Meisner and I know what's good from them for me. I use it, and at the same time I'm painting. So don't tell me the eyes can't both be on this side of the head."", 'To piggyback on what everyone has said and that you ape and act like you came up with it.  That, you know, it\'s true. You are bringing yourself to these roles. We don\'t completely shut off and we\'re not there. We\'re there and you\'re exercising and you\'re accessing different parts of your personality, different parts of your pain, different parts of your joy and trying to find where you and this character meet. And sometimes you\'re reaching for things that are out there beyond you that you\'re trying to scaffold to and other times you\'re like, that\'s a little too close. Can we not do that beat right now? But if you\'re really honest, and I think all of us probably have a good relationship with the writers that we\'re working with that You\'re in a conversation. It\'s not like they just stick it all on the page and go, say all of that, you know. You\'re always in a conversation, and when you\'re in that conversation you\'re trying to get to the best iteration of what that thing is so you are bringing yourself to these moments, and that\'s when it sings. I mean, my writers are perfectly happy for me to improv a scene and they go, ""That\'s good, that was better, move on."" You know, best answer wins.']",like - know - its - what - youre - do - they - on - about - at,0.0,False
